word,count
te,49670
nos,49618
se,33239
él,33115
me,33098
les,33080
ni,32990
le,32868
no,16803
esa,16773
mi,16756
mí,16741
algunos,16732
cual,16726
hasta,16726
almacenamiento,16719
ante,16713
muchos,16698
donde,16683
nosotros,16681
yo,16677
los,16660
hay,16655
una,16655
distribuido,16652
estas,16650
quienes,16647
ellos,16646
estar,16642
mucho,16631
y,16629
os,16628
otras,16623
procesador,16612
de,16612
da,16611
todo,16607
todos,16607
para,16599
red,16591
rendimiento,16589
estado,16588
velocidad,16587
la,16581
poco,16577
han,16576
su,16575
uno,16571
por,16570
escala,16568
